format,period,group,gross_profits,gross_norm_diff,total_ce_profit,overall_order_num,overall_order_price_low,overall_order_price_high,overall_order_quantity,overall_order_rate,overall_order_price_low_initial,overall_order_price_high_initial,overall_order_quantity_initial,overall_order_rate_initial,max_quantity/rate_orders_buy,max_quantity/rate_orders_sell,%no_trans,max_quantity/rate_orders,buyer_profit,buyer_ce_profit,buyer_order_num,buyer_order_price_low,buyer_order_price_high,buyer_order_quantity,buyer_order_rate,buyer_order_price_low_initial,buyer_order_price_high_initial,buyer_order_quantity_initial,buyer_order_rate_initial,seller_profit,seller_ce_profit,seller_order_num,seller_order_price_low,seller_order_price_high,seller_order_quantity,seller_order_rate,seller_order_price_low_initial,seller_order_price_high_initial,seller_order_quantity_initial,seller_order_rate_initial,%max_quantity/rate_orders_buy,%max_quantity/rate_orders_sell,%max_quantity/rate_orders,group_id,block,seller_realized_surplus,buyer_realized_surplus
CDA,14,CDA2,8868.0,-0.6318301435406699,10700.0,41.0,6.466666666666667,6.466666666666667,95.53333333333333,0.0,7.183333333333334,7.183333333333334,170.28333333333333,,5.0,4.0,,9.0,6306.0,8800.0,21,5.333333333333333,5.333333333333333,87.66666666666667,0.0,6.2,6.2,167.4,,2562.0,1900.0,20,7.6,7.6,103.4,0.0,8.166666666666666,8.166666666666666,173.16666666666666,,0.23809523809523808,0.2,0.21904761904761905,2,4,1.348421052631579,0.7165909090909091
CDA,14,CDA3,10550.0,-0.6749162679425839,10700.0,29.0,7.216346153846153,7.216346153846153,87.48798076923077,0.0,7.5,7.5,147.66666666666666,,4.0,0.0,,4.0,7622.0,8800.0,13,6.3076923076923075,6.3076923076923075,100.53846153846153,0.0,7.0,7.0,168.0,,2928.0,1900.0,16,8.125,8.125,74.4375,0.0,8.0,8.0,127.33333333333333,,0.3076923076923077,0.0,0.15384615384615385,3,4,1.5410526315789475,0.8661363636363636
CDA,14,CDA4,10625.0,-0.539683014354067,10700.0,27.0,7.110795454545455,7.110795454545455,102.2215909090909,0.0,6.833333333333333,6.833333333333333,160.33333333333331,,4.0,3.0,,7.0,7895.0,8800.0,11,5.909090909090909,5.909090909090909,113.81818181818181,0.0,5.0,5.0,134.0,,2730.0,1900.0,16,8.3125,8.3125,90.625,0.0,8.666666666666666,8.666666666666666,186.66666666666666,,0.36363636363636365,0.1875,0.2755681818181818,4,4,1.436842105263158,0.897159090909091
CDA,14,CDA5,9288.0,-0.5521052631578947,10700.0,36.0,8.1,8.1,139.47142857142856,0.0,8.825,8.825,157.825,,7.0,9.0,,16.0,6776.0,8800.0,15,5.533333333333333,5.533333333333333,142.13333333333333,0.0,6.25,6.25,196.25,,2512.0,1900.0,21,10.666666666666666,10.666666666666666,136.8095238095238,0.0,11.4,11.4,119.4,,0.4666666666666667,0.42857142857142855,0.4476190476190476,5,4,1.3221052631578947,0.77
CDA,15,CDA1,9306.0,-0.07585526315789481,10700.0,39.0,6.316558441558442,6.316558441558442,101.28246753246754,0.0,7.533333333333333,7.533333333333333,114.96666666666667,,0.0,3.0,,3.0,7535.0,8800.0,11,5.454545454545454,5.454545454545454,128.63636363636363,0.0,5.666666666666667,5.666666666666667,120.33333333333333,,1771.0,1900.0,28,7.178571428571429,7.178571428571429,73.92857142857143,0.0,9.4,9.4,109.6,,0.0,0.10714285714285714,0.05357142857142857,1,4,0.9321052631578948,0.85625
CDA,15,CDA2,10153.0,-0.4275717703349283,10700.0,33.0,6.911764705882353,6.911764705882353,83.65808823529412,0.0,6.225,6.225,156.075,,2.0,3.0,,5.0,7682.0,8800.0,16,5.0,5.0,70.375,0.0,5.25,5.25,129.75,,2471.0,1900.0,17,8.823529411764707,8.823529411764707,96.94117647058823,0.0,7.2,7.2,182.4,,0.125,0.17647058823529413,0.15073529411764708,2,4,1.3005263157894738,0.8729545454545454
CDA,15,CDA3,10611.0,-0.3243301435406698,10700.0,28.0,6.638461538461538,6.638461538461538,122.41538461538461,0.0,6.583333333333334,6.583333333333334,138.25,,6.0,3.0,,9.0,8220.0,8800.0,13,6.076923076923077,6.076923076923077,137.23076923076923,0.0,5.5,5.5,170.5,,2391.0,1900.0,15,7.2,7.2,107.6,0.0,7.666666666666667,7.666666666666667,106.0,,0.46153846153846156,0.2,0.3307692307692308,3,4,1.2584210526315789,0.9340909090909091
CDA,15,CDA4,8791.0,-0.03710526315789475,10700.0,40.0,6.295454545454545,6.295454545454545,112.44949494949495,0.0,6.333333333333333,6.333333333333333,149.5,,6.0,5.0,,11.0,7172.0,8800.0,18,5.0,5.0,110.94444444444444,0.0,5.333333333333333,5.333333333333333,132.0,,1619.0,1900.0,22,7.590909090909091,7.590909090909091,113.95454545454545,0.0,7.333333333333333,7.333333333333333,167.0,,0.3333333333333333,0.22727272727272727,0.2803030303030303,4,4,0.8521052631578947,0.815
CDA,15,CDA5,9651.0,-0.8289114832535885,10700.0,29.0,8.867788461538462,8.867788461538462,154.40865384615384,0.0,9.525,9.525,160.075,,5.0,10.0,,15.0,6642.0,8800.0,13,5.923076923076923,5.923076923076923,149.69230769230768,0.0,6.8,6.8,199.4,,3009.0,1900.0,16,11.8125,11.8125,159.125,0.0,12.25,12.25,120.75,,0.38461538461538464,0.625,0.5048076923076923,5,4,1.5836842105263158,0.7547727272727273
CDA,16,CDA1,9417.0,0.5434330143540669,10700.0,31.0,4.869047619047619,4.869047619047619,98.63571428571429,0.0,4.055555555555555,4.055555555555555,108.38888888888889,,1.0,3.0,,4.0,8594.0,8800.0,10,3.5,3.5,114.7,0.0,2.3333333333333335,2.3333333333333335,118.66666666666667,,823.0,1900.0,21,6.238095238095238,6.238095238095238,82.57142857142857,0.0,5.777777777777778,5.777777777777778,98.11111111111111,,0.1,0.14285714285714285,0.12142857142857143,1,4,0.43315789473684213,0.9765909090909091
CDA,16,CDA2,10051.0,-0.5703528708133973,10700.0,29.0,6.875,6.875,98.48557692307692,0.0,7.625,7.625,135.54166666666666,,4.0,3.0,,7.0,7375.0,8800.0,16,5.75,5.75,88.125,0.0,6.0,6.0,125.33333333333333,,2676.0,1900.0,13,8.0,8.0,108.84615384615384,0.0,9.25,9.25,145.75,,0.25,0.23076923076923078,0.2403846153846154,2,4,1.408421052631579,0.8380681818181818
CDA,16,CDA3,10405.0,-0.14743421052631578,10700.0,32.0,6.53125,6.53125,93.9375,0.0,6.0,6.0,161.5,,4.0,2.0,,6.0,8327.0,8800.0,16,4.875,4.875,96.0,0.0,5.333333333333333,5.333333333333333,169.33333333333334,,2078.0,1900.0,16,8.1875,8.1875,91.875,0.0,6.666666666666667,6.666666666666667,153.66666666666666,,0.25,0.125,0.1875,3,4,1.0936842105263158,0.94625
CDA,16,CDA4,10534.0,-0.25756578947368425,10700.0,32.0,6.847058823529412,6.847058823529412,105.25882352941177,0.0,5.875,5.875,128.45833333333331,,3.0,3.0,,6.0,8261.0,8800.0,15,5.4,5.4,97.4,0.0,4.75,4.75,127.25,,2273.0,1900.0,17,8.294117647058824,8.294117647058824,113.11764705882354,0.0,7.0,7.0,129.66666666666666,,0.2,0.17647058823529413,0.18823529411764706,4,4,1.1963157894736842,0.93875
CDA,16,CDA5,9434.0,0.048761961722488034,10700.0,35.0,7.05952380952381,7.05952380952381,147.26190476190476,0.0,7.325,7.325,178.225,,7.0,10.0,,17.0,7835.0,8800.0,14,5.214285714285714,5.214285714285714,145.42857142857142,0.0,5.4,5.4,197.2,,1599.0,1900.0,21,8.904761904761905,8.904761904761905,149.0952380952381,0.0,9.25,9.25,159.25,,0.5,0.47619047619047616,0.4880952380952381,5,4,0.8415789473684211,0.8903409090909091
CDA,17,CDA1,9627.0,2.5188709677419356,11700.0,38.0,8.393846153846154,8.393846153846154,86.36307692307692,0.0,10.214285714285715,10.214285714285715,114.51785714285714,,1.0,3.0,,4.0,6780.0,2400.0,13,7.3076923076923075,7.3076923076923075,97.84615384615384,0.0,11.0,11.0,123.75,,2847.0,9300.0,25,9.48,9.48,74.88,0.0,9.428571428571429,9.428571428571429,105.28571428571429,,0.07692307692307693,0.12,0.09846153846153846,1,5,0.30612903225806454,2.825
CDA,17,CDA2,11328.0,2.571854838709678,11700.0,34.0,11.294117647058822,11.294117647058822,106.17647058823529,0.0,12.375,12.375,145.70833333333331,,7.0,6.0,,13.0,7230.0,2400.0,17,9.0,9.0,106.94117647058823,0.0,10.75,10.75,127.75,,4098.0,9300.0,17,13.588235294117647,13.588235294117647,105.41176470588235,0.0,14.0,14.0,163.66666666666666,,0.4117647058823529,0.35294117647058826,0.38235294117647056,2,5,0.4406451612903226,3.0125
CDA,17,CDA3,10225.0,2.800013440860215,11700.0,29.0,10.275,10.275,102.21111111111111,0.0,9.375,9.375,102.0,,2.0,3.0,,5.0,7439.0,2400.0,20,8.55,8.55,98.2,0.0,7.75,7.75,158.0,,2786.0,9300.0,9,12.0,12.0,106.22222222222223,0.0,11.0,11.0,46.0,,0.1,0.3333333333333333,0.21666666666666667,3,5,0.29956989247311827,3.0995833333333334
CDA,17,CDA4,10762.0,2.368521505376344,11700.0,21.0,9.577272727272728,9.577272727272728,134.1818181818182,0.0,9.416666666666668,9.416666666666668,190.0,,5.0,3.0,,8.0,6726.0,2400.0,10,7.7,7.7,137.0,0.0,5.5,5.5,200.0,,4036.0,9300.0,11,11.454545454545455,11.454545454545455,131.36363636363637,0.0,13.333333333333334,13.333333333333334,180.0,,0.5,0.2727272727272727,0.38636363636363635,4,5,0.4339784946236559,2.8025
