id_in_group,direction,fill_quantity,profit,contract_price,contract_quantity,group_id,max_price,min_price,order_price_diff,max_rate,period,block,max_rate_percent,contract_percent,in_market_quantity,price_dev_from_contract,in_market_percent,ce_price,ind_ce_profit,realized_surplus,excess_profit,format,time
5,sell,257.36,683.21,3.0,400.0,1,6.506666666666667,3.8066666666666666,2.7,29.133333333333333,2,1,0.9711111111111111,0.6434000000000001,400,0.8066666666666666,0.6434000000000001,14,4400.0,0.155275,-3716.79,Flow30,T1-T10
6,sell,293.3,760.51,4.0,400.0,1,8.695652173913043,4.971014492753623,3.7246376811594204,14.681159420289855,2,1,0.48937198067632853,0.7332500000000001,400,0.9710144927536231,0.7332500000000001,14,4000.0,0.1901275,-3239.49,Flow30,T1-T10
7,sell,0.0,0.0,14.0,400.0,1,15.850574712643677,14.724137931034482,1.1264367816091954,20.804597701149426,2,1,0.6934865900383141,0.0,0,0.7241379310344822,,14,0.0,,0.0,Flow30,T1-T10
8,sell,84.13,-381.11,11.0,300.0,1,13.173913043478262,11.73913043478261,1.434782608695652,15.173913043478262,2,1,0.5057971014492754,0.2804333333333333,300,0.7391304347826093,0.2804333333333333,14,900.0,-0.4234555555555556,-1281.1100000000001,Flow30,T1-T10
1,buy,10.46,90.32,17.0,300.0,1,9.709090909090909,0.0,9.709090909090909,3.981818181818182,3,1,0.13272727272727272,0.03486666666666667,300,7.290909090909091,0.03486666666666667,14,900.0,0.10035555555555555,-809.6800000000001,Flow30,T1-T10
2,buy,44.34,304.59,14.0,400.0,1,11.950617283950617,2.9382716049382718,9.012345679012345,4.432098765432099,3,1,0.1477366255144033,0.11085,200,2.049382716049383,0.2217,14,0.0,,304.59,Flow30,T1-T10
3,buy,281.2,1778.8,17.0,300.0,1,13.285714285714286,7.3061224489795915,5.979591836734694,15.387755102040817,3,1,0.5129251700680272,0.9373333333333332,300,3.7142857142857135,0.9373333333333332,14,900.0,1.9764444444444444,878.8,Flow30,T1-T10
4,buy,81.13,657.37,16.0,300.0,1,11.904761904761905,5.523809523809524,6.380952380952381,9.476190476190476,3,1,0.31587301587301586,0.2704333333333333,300,4.095238095238095,0.2704333333333333,14,600.0,1.0956166666666667,57.370000000000005,Flow30,T1-T10
5,sell,302.73,1897.54,3.0,400.0,1,8.243243243243244,4.4324324324324325,3.810810810810811,28.954954954954953,3,1,0.9651651651651652,0.7568250000000001,400,1.4324324324324325,0.7568250000000001,14,4400.0,0.4312590909090909,-2502.46,Flow30,T1-T10
6,sell,95.52,652.47,4.0,400.0,1,18.125,7.652777777777778,10.472222222222221,7.305555555555555,3,1,0.24351851851851852,0.23879999999999998,400,3.6527777777777777,0.23879999999999998,14,4000.0,0.1631175,-3347.5299999999997,Flow30,T1-T10
7,sell,0.0,0.0,14.0,400.0,1,17.0,14.87912087912088,2.120879120879121,19.395604395604394,3,1,0.6465201465201464,0.0,0,0.8791208791208796,,14,0.0,,0.0,Flow30,T1-T10
8,sell,9.95,13.11,11.0,300.0,1,15.475,13.05,2.425,19.05,3,1,0.635,0.033166666666666664,300,2.0500000000000007,0.033166666666666664,14,900.0,0.014566666666666665,-886.89,Flow30,T1-T10
1,buy,57.67,632.65,17.0,300.0,1,8.204081632653061,0.0,8.204081632653061,7.081632653061225,4,1,0.23605442176870747,0.19223333333333334,300,8.795918367346939,0.19223333333333334,14,900.0,0.7029444444444444,-267.35,Flow30,T1-T10
2,buy,80.59,558.55,14.0,400.0,1,11.62809917355372,4.338842975206612,7.289256198347108,5.033057851239669,4,1,0.1677685950413223,0.20147500000000002,200,2.3719008264462804,0.40295000000000003,14,0.0,,558.55,Flow30,T1-T10
