group,period,price_deviation,realized_surplus,traded_volume,filled_contract,block,format,ce_quantity,filled_ce_quantity,block_1,block_2,block_3,block_4,block_5,group_id_x,format_num,realized_surplus_percent,filled_contract_percent,change_log_wprice,change_log_price,Traded/CE Quantity,gross_profits,gross_norm_diff,total_ce_profit,overall_order_num,overall_order_price_low,overall_order_price_high,overall_order_quantity,overall_order_rate,overall_order_price_low_initial,overall_order_price_high_initial,overall_order_quantity_initial,overall_order_rate_initial,max_quantity/rate_orders_buy,max_quantity/rate_orders_sell,%no_trans,max_quantity/rate_orders,buyer_profit,buyer_ce_profit,buyer_order_num,buyer_order_price_low,buyer_order_price_high,buyer_order_quantity,buyer_order_rate,buyer_order_price_low_initial,buyer_order_price_high_initial,buyer_order_quantity_initial,buyer_order_rate_initial,seller_profit,seller_ce_profit,seller_order_num,seller_order_price_low,seller_order_price_high,seller_order_quantity,seller_order_rate,seller_order_price_low_initial,seller_order_price_high_initial,seller_order_quantity_initial,seller_order_rate_initial,%max_quantity/rate_orders_buy,%max_quantity/rate_orders_sell,%max_quantity/rate_orders,group_id_y,seller_realized_surplus,buyer_realized_surplus,order_size,gross_diff
CDA5,12,0.0,0.8423,1341.0,0.7053,3,CDA,1500,0.894,False,False,True,False,False,5,0,84.23,70.53,0.10402070216438704,0.044960748523956866,0.894,11118.0,0.19534851621808147,13200.0,34.0,10.31422924901186,10.31422924901186,144.7173913043478,0.0,11.766666666666666,11.766666666666666,162.93333333333334,,7.0,5.0,,12.0,6455.0,6900.0,23,8.173913043478262,8.173913043478262,131.43478260869566,0.0,8.2,8.2,199.2,,4663.0,6300.0,11,12.454545454545455,12.454545454545455,158.0,0.0,15.333333333333334,15.333333333333334,126.66666666666667,,0.30434782608695654,0.45454545454545453,0.37944664031620556,5,0.7401587301587301,0.9355072463768116,78.88235294117646,1192.0
CDA5,13,1.46757257566399,0.781,1619.0,0.9767,4,CDA,1200,1.3491666666666666,False,False,False,True,False,5,0,78.10000000000001,97.67,0.23321009163196244,0.09376156123749264,1.3491666666666666,8357.0,-1.078989234449761,10700.0,33.0,9.75751879699248,9.75751879699248,133.88345864661653,0.0,10.575,10.575,150.9,,6.0,9.0,,15.0,5187.0,8800.0,14,6.357142857142857,6.357142857142857,131.71428571428572,0.0,6.75,6.75,200.0,,3170.0,1900.0,19,13.157894736842104,13.157894736842104,136.05263157894737,0.0,14.4,14.4,101.8,,0.42857142857142855,0.47368421052631576,0.45112781954887216,5,1.668421052631579,0.5894318181818182,98.12121212121212,-4883.0
CDA5,14,0.68201617921593,0.868,1607.0,1.0042,4,CDA,1200,1.3391666666666666,False,False,False,True,False,5,0,86.8,100.42,0.15603329213219674,0.09608635029552928,1.3391666666666666,9288.0,-0.5521052631578947,10700.0,36.0,8.1,8.1,139.47142857142856,0.0,8.825,8.825,157.825,,7.0,9.0,,16.0,6776.0,8800.0,15,5.533333333333333,5.533333333333333,142.13333333333333,0.0,6.25,6.25,196.25,,2512.0,1900.0,21,10.666666666666666,10.666666666666666,136.8095238095238,0.0,11.4,11.4,119.4,,0.4666666666666667,0.42857142857142855,0.4476190476190476,5,1.3221052631578947,0.77,89.27777777777777,-2636.0
CDA5,15,1.4821634062140392,0.902,1738.0,0.9625,4,CDA,1200,1.4483333333333333,False,False,False,True,False,5,0,90.2,96.25,0.24668115635972498,0.10851055784960238,1.4483333333333333,9651.0,-0.8289114832535885,10700.0,29.0,8.867788461538462,8.867788461538462,154.40865384615384,0.0,9.525,9.525,160.075,,5.0,10.0,,15.0,6642.0,8800.0,13,5.923076923076923,5.923076923076923,149.69230769230768,0.0,6.8,6.8,199.4,,3009.0,1900.0,16,11.8125,11.8125,159.125,0.0,12.25,12.25,120.75,,0.38461538461538464,0.625,0.5048076923076923,5,1.5836842105263158,0.7547727272727273,119.86206896551724,-3267.0
CDA5,16,0.5508982035928147,0.8817,1837.0,0.9475,4,CDA,1200,1.5308333333333333,False,False,False,True,False,5,0,88.17,94.75,0.23832264794820504,0.10811129837589571,1.5308333333333333,9434.0,0.048761961722488034,10700.0,35.0,7.05952380952381,7.05952380952381,147.26190476190476,0.0,7.325,7.325,178.225,,7.0,10.0,,17.0,7835.0,8800.0,14,5.214285714285714,5.214285714285714,145.42857142857142,0.0,5.4,5.4,197.2,,1599.0,1900.0,21,8.904761904761905,8.904761904761905,149.0952380952381,0.0,9.25,9.25,159.25,,0.5,0.47619047619047616,0.4880952380952381,5,0.8415789473684211,0.8903409090909091,104.97142857142858,-664.0
CDA5,17,4.711475409836066,0.611,915.0,0.7782,5,CDA,1100,0.8318181818181818,False,False,False,False,True,5,0,61.1,77.82,0.21433908784154715,0.09257762607867911,0.8318181818181818,7149.0,2.528991935483871,11700.0,29.0,10.223557692307693,10.223557692307693,146.4206730769231,0.0,11.875,11.875,162.275,,5.0,9.0,,14.0,6291.0,2400.0,13,6.384615384615385,6.384615384615385,127.15384615384616,0.0,7.0,7.0,159.8,,858.0,9300.0,16,14.0625,14.0625,165.6875,0.0,16.75,16.75,164.75,,0.38461538461538464,0.5625,0.4735576923076923,5,0.09225806451612903,2.62125,63.10344827586207,12333.0
CDA5,18,4.702740688685875,0.8524,1423.0,0.8536,5,CDA,1100,1.2936363636363637,False,False,False,False,True,5,0,85.24000000000001,85.36,0.1838050777687016,0.1275852400118849,1.2936363636363637,9973.0,2.237916666666667,11700.0,39.0,9.941176470588236,9.941176470588236,126.25,0.0,10.625,10.625,172.5,,6.0,6.0,,12.0,6315.0,2400.0,17,6.882352941176471,6.882352941176471,115.0,0.0,9.25,9.25,200.0,,3658.0,9300.0,22,13.0,13.0,137.5,0.0,12.0,12.0,145.0,,0.35294117647058826,0.2727272727272727,0.3128342245989305,5,0.3933333333333333,2.63125,72.97435897435898,9557.0
CDA5,19,5.840837696335079,0.864,955.0,0.8082,5,CDA,1100,0.8681818181818182,False,False,False,False,True,5,0,86.4,80.82000000000001,0.2135616553441112,0.10091792056283627,0.8681818181818182,10109.0,2.739099462365591,11700.0,26.0,9.357575757575757,9.357575757575757,137.34545454545454,0.0,8.933333333333334,8.933333333333334,171.06666666666666,,5.0,4.0,,9.0,7299.0,2400.0,11,6.181818181818182,6.181818181818182,138.0909090909091,0.0,7.2,7.2,179.8,,2810.0,9300.0,15,12.533333333333333,12.533333333333333,136.6,0.0,10.666666666666666,10.666666666666666,162.33333333333334,,0.45454545454545453,0.26666666666666666,0.3606060606060606,5,0.3021505376344086,3.04125,73.46153846153847,11389.0
CDA5,20,5.299301919720769,0.9515,1146.0,0.9673,5,CDA,1100,1.0418181818181818,False,False,False,False,True,5,0,95.15,96.73,0.2315744901615121,0.12004816479223618,1.0418181818181818,11132.0,3.190510752688172,11700.0,36.0,10.619047619047619,10.619047619047619,101.13333333333333,0.0,10.125,10.125,143.875,,3.0,6.0,,9.0,8370.0,2400.0,15,7.666666666666667,7.666666666666667,99.26666666666667,0.0,7.5,7.5,174.75,,2762.0,9300.0,21,13.571428571428571,13.571428571428571,103.0,0.0,12.75,12.75,113.0,,0.2,0.2857142857142857,0.24285714285714285,5,0.29698924731182796,3.4875,63.666666666666664,12508.0
Flow301,1,6.993284333073677,0.5448,502.325,0.4567,1,Flow30,1100,0.4566590909090909,True,False,False,False,False,1,1,54.48,45.67,0.07233536012429048,0.08859705981633095,0.4566590909090909,6373.95,1.6613282258064515,11700.0,20.0,6.520833333333333,11.625,201.875,15.6875,5.333333333333333,11.833333333333332,254.16666666666666,12.333333333333334,1.0,3.0,0.09166666666666666,4.0,4476.78,2400.0,8,1.625,8.5,181.25,11.875,1.0,9.0,175.0,6.0,1897.17,9300.0,12,11.416666666666666,14.75,222.5,19.5,9.666666666666666,14.666666666666666,333.3333333333333,18.666666666666668,0.125,0.25,0.1875,1,0.2039967741935484,1.865325,50.2325,9479.61
