period,block,group,interval,ppi,group_id
20,5,CDA1,12,1.0,1
1,1,CDA2,1,12.0,2
1,1,CDA2,2,12.0,2
1,1,CDA2,3,10.0,2
1,1,CDA2,4,12.0,2
1,1,CDA2,5,2.0,2
1,1,CDA2,6,2.0,2
1,1,CDA2,7,2.0,2
1,1,CDA2,8,7.0,2
1,1,CDA2,9,15.0,2
1,1,CDA2,10,5.0,2
1,1,CDA2,11,4.0,2
1,1,CDA2,12,3.0,2
2,1,CDA2,1,13.0,2
2,1,CDA2,2,4.0,2
2,1,CDA2,3,1.0,2
2,1,CDA2,4,1.0,2
2,1,CDA2,5,3.0,2
2,1,CDA2,6,3.0,2
2,1,CDA2,7,3.0,2
2,1,CDA2,8,1.0,2
2,1,CDA2,9,1.0,2
2,1,CDA2,10,3.0,2
2,1,CDA2,11,2.0,2
2,1,CDA2,12,7.0,2
3,1,CDA2,1,2.0,2
3,1,CDA2,2,2.0,2
3,1,CDA2,3,2.0,2
3,1,CDA2,4,1.0,2
3,1,CDA2,5,1.0,2
3,1,CDA2,6,12.0,2
3,1,CDA2,7,6.0,2
3,1,CDA2,8,4.0,2
3,1,CDA2,9,3.0,2
3,1,CDA2,10,3.0,2
3,1,CDA2,11,3.0,2
3,1,CDA2,12,6.0,2
4,1,CDA2,1,2.0,2
4,1,CDA2,2,3.0,2
4,1,CDA2,3,2.0,2
4,1,CDA2,4,2.0,2
4,1,CDA2,5,2.0,2
4,1,CDA2,6,1.0,2
4,1,CDA2,7,3.0,2
4,1,CDA2,8,3.0,2
4,1,CDA2,9,3.0,2
4,1,CDA2,10,3.0,2
4,1,CDA2,11,13.0,2
4,1,CDA2,12,4.0,2
5,2,CDA2,1,6.0,2
5,2,CDA2,2,6.0,2
5,2,CDA2,3,6.0,2
5,2,CDA2,4,2.0,2
5,2,CDA2,5,2.0,2
5,2,CDA2,6,4.0,2
5,2,CDA2,7,4.0,2
5,2,CDA2,8,5.0,2
5,2,CDA2,9,8.0,2
5,2,CDA2,10,4.0,2
5,2,CDA2,11,2.0,2
5,2,CDA2,12,1.0,2
6,2,CDA2,1,6.0,2
6,2,CDA2,2,6.0,2
6,2,CDA2,3,2.0,2
6,2,CDA2,4,11.0,2
6,2,CDA2,5,4.0,2
6,2,CDA2,6,8.0,2
6,2,CDA2,7,2.0,2
6,2,CDA2,8,2.0,2
6,2,CDA2,9,1.0,2
6,2,CDA2,10,1.0,2
6,2,CDA2,11,11.0,2
6,2,CDA2,12,1.0,2
7,2,CDA2,1,4.0,2
7,2,CDA2,2,6.0,2
7,2,CDA2,3,2.0,2
7,2,CDA2,4,4.5,2
7,2,CDA2,5,3.0,2
7,2,CDA2,6,2.0,2
7,2,CDA2,7,2.0,2
7,2,CDA2,8,2.0,2
7,2,CDA2,9,1.0,2
7,2,CDA2,10,6.5,2
7,2,CDA2,11,2.1500000000000004,2
7,2,CDA2,12,1.7000000000000002,2
8,2,CDA2,1,4.0,2
8,2,CDA2,2,1.0,2
8,2,CDA2,3,5.0,2
8,2,CDA2,4,1.0,2
8,2,CDA2,5,2.0,2
8,2,CDA2,6,1.5499999999999998,2
8,2,CDA2,7,1.0,2
8,2,CDA2,8,1.0,2
8,2,CDA2,9,1.0,2
8,2,CDA2,10,1.0,2
8,2,CDA2,11,1.0,2
8,2,CDA2,12,1.0,2
