interval,quantity,weighted_price,price_change_int,period,group,block,format,price_change,ce_price,ce_quantity,cum_volume,%cumsum,price_deviation,block_1,block_2,block_3,block_4,block_5,group_id,format_num,price_deviation_log,price_change_log,log_wprice,change_log_wprice,ppi
23,25.460000000000036,10.454545454545455,0.0,11,Flow609,3,Flow60,-0.5670511080958853,9,1500,2287.71,1.52514,0.45454545454545503,False,False,True,False,False,9,2,-0.788457360364269,-0.567305841581299,2.3470368555648795,-0.05281981630858201,0.3512987012987012
24,31.409999999999982,10.239089736149003,-0.008294847360845162,11,Flow609,3,Flow60,-0.21545571839645206,9,1500,2319.12,1.54608,0.23908973614900297,False,False,True,False,False,9,2,-1.430916332461403,-1.5349998736319839,2.32621272270595,-0.020824132858929367,0.2645833333333334
1,0.0,11.217843363049418,0.0,12,Flow609,3,Flow60,,9,1500,0.0,0.0,1.2178433630494183,False,False,True,False,False,9,2,0.19708155925212278,,2.4175056679871836,,5.0
2,0.0,11.217843363049418,0.0,12,Flow609,3,Flow60,0.0,9,1500,0.0,0.0,1.2178433630494183,False,False,True,False,False,9,2,0.19708155925212278,-6.907755278982137,2.4175056679871836,0.0,5.0
3,61.25999999999999,11.217843363049418,0.003679893048927008,12,Flow609,3,Flow60,0.0,9,1500,61.25999999999999,0.040839999999999994,1.2178433630494183,False,False,True,False,False,9,2,0.19708155925212278,-6.907755278982137,2.4175056679871836,0.0,0.2775032938076416
4,304.74,11.418077654385659,-0.06306897878451197,12,Flow609,3,Flow60,0.2002342913362405,9,1500,366.0,0.244,1.4180776543856588,False,False,True,False,False,9,2,0.3493021899289982,-1.6082671413728786,2.4351978585686567,0.01769219058147309,0.41190964647224515
5,311.44,11.336972496325846,0.0,12,Flow609,3,Flow60,-0.08110515805981322,9,1500,677.44,0.4516266666666667,1.3369724963258456,False,False,True,False,False,9,2,0.29040772672335896,-2.5120087186525,2.428069287022626,-0.007128571546030749,0.41190964647224515
6,235.37000000000003,10.838847187507412,-0.11593274895747581,12,Flow609,3,Flow60,-0.49812530881843387,9,1500,912.8100000000001,0.6085400000000001,0.8388471875074117,False,False,True,False,False,9,2,-0.17572672556694727,-0.6969036094761255,2.3831366423402276,-0.044932644682398326,0.2808547526469054
7,145.79999999999998,10.230695358426486,-0.01919988801324241,12,Flow609,3,Flow60,-0.608151829080926,9,1500,1058.6100000000001,0.70574,0.2306953584264857,False,False,True,False,False,9,2,-1.4666572335259143,-0.4973307093074385,2.3253925501292185,-0.05774409221100907,0.2569000488141526
8,108.72,9.99591381872214,0.0,12,Flow609,3,Flow60,-0.23478153970434512,9,1500,1167.3300000000002,0.7782200000000001,0.0,False,False,True,False,False,9,2,-6.907755278982137,-1.4490998154804091,2.3021763913591236,-0.023216158770094975,0.4586026077097505
