id_in_group,direction,fill_quantity,profit,contract_price,contract_quantity,group_id,order_price,period,block,price_dev_from_contract,in_market_quantity,ce_price,format,time
3,buy,83.0,415,10.0,400.0,1,6.752380952380952,11,3,3.2476190476190476,400.0,9,CDA,T11-T20
4,buy,327.0,2813,14.0,400.0,1,5.230769230769231,11,3,8.76923076923077,400.0,9,CDA,T11-T20
5,sell,352.0,623,3.0,400.0,1,5.421052631578948,11,3,2.421052631578948,400.0,9,CDA,T11-T20
6,sell,370.0,352,5.0,400.0,1,6.0,11,3,1.0,400.0,9,CDA,T11-T20
7,sell,383.0,726,4.0,400.0,1,6.114754098360656,11,3,2.114754098360656,400.0,9,CDA,T11-T20
8,sell,4.0,4,8.0,300.0,1,9.0,11,3,1.0,300.0,9,CDA,T11-T20
1,buy,300.0,3011,16.0,300.0,1,5.963333333333333,12,3,10.036666666666667,300.0,9,CDA,T11-T20
2,buy,400.0,3223,15.0,400.0,1,16.0,12,3,-1.0,400.0,9,CDA,T11-T20
3,buy,78.0,613,10.0,400.0,1,6.142857142857143,12,3,3.8571428571428568,400.0,9,CDA,T11-T20
4,buy,252.0,2278,14.0,400.0,1,4.4,12,3,9.6,400.0,9,CDA,T11-T20
5,sell,400.0,600,3.0,400.0,1,4.944444444444445,12,3,1.9444444444444446,400.0,9,CDA,T11-T20
6,sell,176.0,176,5.0,400.0,1,6.0,12,3,1.0,400.0,9,CDA,T11-T20
7,sell,291.0,496,4.0,400.0,1,5.305555555555555,12,3,1.3055555555555554,400.0,9,CDA,T11-T20
8,sell,163.0,163,8.0,300.0,1,9.166666666666666,12,3,1.166666666666666,300.0,9,CDA,T11-T20
1,buy,400.0,4219,17.0,400.0,1,3.4545454545454546,13,4,13.545454545454545,400.0,6,CDA,T11-T20
2,buy,400.0,3011,15.0,400.0,1,16.628865979381445,13,4,-1.6288659793814446,400.0,6,CDA,T11-T20
3,buy,96.0,384,8.0,400.0,1,5.854368932038835,13,4,2.1456310679611654,400.0,6,CDA,T11-T20
4,buy,64.0,128,6.0,400.0,1,3.857142857142857,13,4,2.142857142857143,0.0,6,CDA,T11-T20
5,sell,341.0,341,6.0,400.0,1,6.569620253164557,13,4,0.5696202531645573,200.0,6,CDA,T11-T20
6,sell,264.0,264,3.0,300.0,1,5.953488372093023,13,4,2.953488372093023,300.0,6,CDA,T11-T20
7,sell,136.0,335,5.0,400.0,1,4.59,13,4,-0.41000000000000014,400.0,6,CDA,T11-T20
8,sell,219.0,876,4.0,300.0,1,6.7272727272727275,13,4,2.7272727272727275,300.0,6,CDA,T11-T20
1,buy,400.0,4031,17.0,400.0,1,6.922499999999999,14,4,10.0775,400.0,6,CDA,T11-T20
2,buy,400.0,3884,15.0,400.0,1,16.0,14,4,-1.0,400.0,6,CDA,T11-T20
