period,block,group,interval,ppi,group_id
13,4,CDA1,6,6.0,1
13,4,CDA1,7,5.95,1
13,4,CDA1,8,5.95,1
13,4,CDA1,9,6.0,1
13,4,CDA1,10,7.0,1
13,4,CDA1,11,7.0,1
13,4,CDA1,12,2.0,1
13,4,CDA1,13,2.0,1
13,4,CDA1,14,1.0,1
13,4,CDA1,15,1.0,1
13,4,CDA1,16,6.0,1
13,4,CDA1,17,5.0,1
13,4,CDA1,18,4.0,1
13,4,CDA1,19,4.95,1
13,4,CDA1,20,1.0,1
13,4,CDA1,21,1.0,1
13,4,CDA1,22,5.95,1
13,4,CDA1,23,5.95,1
13,4,CDA1,24,6.0,1
14,4,CDA1,1,20.0,1
14,4,CDA1,2,3.0,1
14,4,CDA1,3,6.0,1
14,4,CDA1,4,4.0,1
14,4,CDA1,5,2.0,1
14,4,CDA1,6,2.0,1
14,4,CDA1,7,7.0,1
14,4,CDA1,8,6.0,1
14,4,CDA1,9,6.0,1
14,4,CDA1,10,1.5,1
14,4,CDA1,11,5.0,1
14,4,CDA1,12,5.0,1
14,4,CDA1,13,4.0,1
14,4,CDA1,14,3.0,1
14,4,CDA1,15,5.0,1
14,4,CDA1,16,1.0,1
14,4,CDA1,17,5.0,1
14,4,CDA1,18,5.0,1
14,4,CDA1,19,5.0,1
14,4,CDA1,20,5.0,1
14,4,CDA1,21,5.0,1
14,4,CDA1,22,5.0,1
14,4,CDA1,23,3.0,1
14,4,CDA1,24,3.0,1
15,4,CDA1,1,20.0,1
15,4,CDA1,2,1.0,1
15,4,CDA1,3,7.0,1
15,4,CDA1,4,5.0,1
15,4,CDA1,5,2.0,1
15,4,CDA1,6,2.0,1
15,4,CDA1,7,12.0,1
15,4,CDA1,8,4.0,1
15,4,CDA1,9,2.0,1
15,4,CDA1,10,1.0,1
15,4,CDA1,11,2.0,1
15,4,CDA1,12,2.0,1
15,4,CDA1,13,1.0,1
15,4,CDA1,14,1.0,1
15,4,CDA1,15,1.0,1
15,4,CDA1,16,1.0,1
15,4,CDA1,17,1.5499999999999998,1
15,4,CDA1,18,1.5499999999999998,1
15,4,CDA1,19,4.0,1
15,4,CDA1,20,6.0,1
15,4,CDA1,21,5.0,1
15,4,CDA1,22,1.0,1
15,4,CDA1,23,5.0,1
15,4,CDA1,24,4.0,1
16,4,CDA1,1,6.0,1
16,4,CDA1,2,5.2,1
16,4,CDA1,3,5.0,1
16,4,CDA1,4,4.0,1
16,4,CDA1,5,4.0,1
16,4,CDA1,6,1.0,1
16,4,CDA1,7,4.0,1
16,4,CDA1,8,4.0,1
16,4,CDA1,9,4.0,1
16,4,CDA1,10,1.0,1
16,4,CDA1,11,4.0,1
16,4,CDA1,12,1.0,1
16,4,CDA1,13,2.3,1
16,4,CDA1,14,1.0,1
16,4,CDA1,15,4.0,1
16,4,CDA1,16,1.0,1
16,4,CDA1,17,1.0,1
16,4,CDA1,18,1.0,1
16,4,CDA1,19,2.0,1
16,4,CDA1,20,1.0,1
16,4,CDA1,21,1.0,1
16,4,CDA1,22,1.5499999999999998,1
16,4,CDA1,23,2.0999999999999996,1
16,4,CDA1,24,2.0999999999999996,1
17,5,CDA1,1,12.0,1
17,5,CDA1,2,10.0,1
17,5,CDA1,3,8.0,1
17,5,CDA1,4,5.0,1
17,5,CDA1,5,10.0,1
17,5,CDA1,6,8.0,1
17,5,CDA1,7,2.0,1
17,5,CDA1,8,2.0,1
17,5,CDA1,9,4.0,1
17,5,CDA1,10,1.0,1
17,5,CDA1,11,6.0,1
17,5,CDA1,12,6.0,1
17,5,CDA1,13,1.0,1
17,5,CDA1,14,3.0,1
17,5,CDA1,15,6.0,1
17,5,CDA1,16,5.95,1
17,5,CDA1,17,5.95,1
17,5,CDA1,18,2.6500000000000004,1
17,5,CDA1,19,7.65,1
17,5,CDA1,20,15.0,1
17,5,CDA1,21,6.0,1
17,5,CDA1,22,4.9,1
17,5,CDA1,23,2.0,1
17,5,CDA1,24,2.0,1
18,5,CDA1,1,14.0,1
18,5,CDA1,2,6.0,1
18,5,CDA1,3,1.0,1
18,5,CDA1,4,1.0,1
18,5,CDA1,5,1.0,1
18,5,CDA1,6,3.0,1
18,5,CDA1,7,3.0,1
18,5,CDA1,8,3.0,1
18,5,CDA1,9,3.0,1
18,5,CDA1,10,3.0,1
18,5,CDA1,11,1.0,1
18,5,CDA1,12,3.0,1
18,5,CDA1,13,2.0,1
18,5,CDA1,14,2.0,1
18,5,CDA1,15,1.0,1
18,5,CDA1,16,1.0,1
18,5,CDA1,17,6.0,1
18,5,CDA1,18,2.0,1
18,5,CDA1,19,1.0,1
18,5,CDA1,20,9.0,1
18,5,CDA1,21,1.0,1
18,5,CDA1,22,9.0,1
18,5,CDA1,23,9.0,1
18,5,CDA1,24,9.0,1
19,5,CDA1,1,5.0,1
19,5,CDA1,2,8.0,1
19,5,CDA1,3,8.0,1
19,5,CDA1,4,4.0,1
19,5,CDA1,5,1.0,1
19,5,CDA1,6,4.0,1
19,5,CDA1,7,3.0,1
19,5,CDA1,8,1.0,1
19,5,CDA1,9,2.0,1
19,5,CDA1,10,2.0,1
19,5,CDA1,11,2.0,1
19,5,CDA1,12,2.0,1
19,5,CDA1,13,7.0,1
19,5,CDA1,14,7.0,1
19,5,CDA1,15,7.0,1
19,5,CDA1,16,7.0,1
19,5,CDA1,17,3.0,1
19,5,CDA1,18,3.0,1
19,5,CDA1,19,3.0,1
19,5,CDA1,20,3.0,1
19,5,CDA1,21,2.5999999999999996,1
19,5,CDA1,22,2.5999999999999996,1
19,5,CDA1,23,2.5999999999999996,1
19,5,CDA1,24,2.5999999999999996,1
20,5,CDA1,1,2.0,1
20,5,CDA1,2,1.0,1
20,5,CDA1,3,1.0,1
20,5,CDA1,4,1.0,1
20,5,CDA1,5,9.0,1
20,5,CDA1,6,1.0,1
20,5,CDA1,7,1.0,1
